Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1512,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,3231,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1888,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,3290,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1592,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3593,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,1160,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3775,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,1221,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,3779,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,1621,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2018,Counts,3490,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2018,Counts,1843,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2019,Counts,3715,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2019,Counts,1779,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2020,Counts,3510,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2020,Counts,1022,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2021,Counts,3576,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2021,Counts,56651.54801,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2003,Counts,26128,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2004,Counts,25698,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2004,Counts,28815,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2005,Counts,26348,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2005,Counts,28622,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2006,Counts,25242,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2006,Counts,30906,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2007,Counts,24512,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2007,Counts,33102,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2008,Counts,25022,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2008,Counts,32862,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2009,Counts,24821,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2009,Counts,33815,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2010,Counts,26896,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2010,Counts,34113,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2011,Counts,26638,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2011,Counts,34027,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2012,Counts,26842,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2012,Counts,36389,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2013,Counts,26431,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2013,Counts,39056,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2014,Counts,26055,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2014,Counts,34810,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2015,Counts,27454,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2015,Counts,35628,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,30489,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,36557,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2017,Counts,27192,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2017,Counts,38309,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2018,Counts,31645,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2018,Counts,42902,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2019,Counts,34999,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2019,Counts,52220,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2020,Counts,32929,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2020,Counts,53145,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence,Total,Total,2021,Counts,38385,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2003,Counts,531,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2003,Counts,93883,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,Counts,587,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,Counts,13650,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,Counts,95089,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2005,Counts,565,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2005,Counts,13550,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2005,Counts,94347,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,Counts,570,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,Counts,13894,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,Counts,94472,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2007,Counts,528,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2007,Counts,14199,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2007,Counts,92610,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,Counts,490,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,Counts,14078,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,Counts,90750,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2009,Counts,471,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2009,Counts,14850,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2009,Counts,89241,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,581,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,14993,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,85593,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,549,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,14938,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,84175,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,499,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,15867,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,85141,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2013,Counts,16472,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2013,Counts,113700,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2014,Counts,14879,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2014,Counts,118000,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2015,Counts,15933,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2015,Counts,126100,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,14919,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,132400,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2017,Counts,15094,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2017,Counts,135666,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2018,Counts,16569,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2018,Counts,143765,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2019,Counts,18772,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2019,Counts,143224,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2020,Counts,17980,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2020,Counts,126430,CTS
USA,United States of America,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2021,Counts,140776.0081,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,Counts,22376,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2011,Counts,21860,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2011,Counts,10379,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2012,Counts,21870,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2012,Counts,11085,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2013,Counts,21196,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2013,Counts,15466,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2014,Counts,20631,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2014,Counts,15930,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2015,Counts,20948,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2015,Counts,16723,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,21579,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,17433,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2017,Counts,24740,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2017,Counts,19665,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2018,Counts,28557,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2018,Counts,22835,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2019,Counts,30995,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2019,Counts,30996,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2020,Counts,28910,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2020,Counts,30485,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2021,Counts,34242,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2013,Counts,5235,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2013,Counts,7118,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2014,Counts,5424,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2014,Counts,4001,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2015,Counts,6506,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2015,Counts,2972,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2016,Counts,8910,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2016,Counts,4205,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2017,Counts,2452,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2017,Counts,3550,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2018,Counts,3088,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2018,Counts,3498,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2019,Counts,4004,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2019,Counts,2452,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2020,Counts,4019,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2020,Counts,4680,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2021,Counts,4143,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2015,Counts,432,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2016,Counts,1082,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2017,Counts,8297,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2017,Counts,1361,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2018,Counts,9094,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2018,Counts,1680,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2019,Counts,10363,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2019,Counts,3302,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2020,Counts,10762,CTS
MEX,Mexico,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2020,Counts,2831,CTS
CAN,Canada,Northern America,Northern America,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2021,Counts,12309,CTS
CAN,Canada,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2013,Counts,6572,CTS
CAN,Canada,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2014,Counts,6723,CTS
CAN,Canada,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2015,Counts,6919,CTS
CAN,Canada,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,7357,CTS
CAN,Canada,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,907,CTS
MEX,Mexico,Northern America,Northern America,Victims of serious assault,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,2686,CTS
