Name,Region,GENC,Year,Population,,,,
Greece,Europe,GR,2006,"10,985,750",,,,
Guernsey,Europe,GG,2006,"63,432",,,,
Hungary,Europe,HU,2006,"10,045,849",,,,
Iceland,Europe,IS,2006,"303,734",,,,
Ireland,Europe,IE,2006,"4,309,027",,,,
Isle of Man,Europe,IM,2006,"80,472",,,,
Italy,Europe,IT,2006,"59,272,879",,,,
Jersey,Europe,JE,2006,"89,245",,,,
Kosovo,Europe,XK,2006,"1,776,648",,,,
Latvia,Europe,LV,2006,"2,238,543",,,,
Liechtenstein,Europe,LI,2006,"35,164",,,,
Lithuania,Europe,LT,2006,"3,271,018",,,,
Luxembourg,Europe,LU,2006,"474,942",,,,
Malta,Europe,MT,2006,"407,973",,,,
Moldova,Europe,MD,2006,"3,953,870",,,,
Monaco,Europe,MC,2006,"30,949",,,,
Montenegro,Europe,ME,2006,"620,482",,,,
Netherlands,Europe,NL,2006,"16,320,438",,,,
North Macedonia,Europe,MK,2006,"2,061,665",,,,
Norway,Europe,NO,2006,"4,662,367",,,,
Poland,Europe,PL,2006,"38,542,453",,,,
Portugal,Europe,PT,2006,"10,595,717",,,,
Romania,Europe,RO,2006,"21,239,780",,,,
Russia,Europe,RU,2006,"143,701,958",,,,
San Marino,Europe,SM,2006,"29,953",,,,
Serbia,Europe,RS,2006,"7,384,820",,,,
Slovakia,Europe,SK,2006,"5,408,938",,,,
Slovenia,Europe,SI,2006,"2,026,870",,,,
Spain,Europe,ES,2006,"44,431,750",,,,
Sweden,Europe,SE,2006,"9,133,722",,,,
Switzerland,Europe,CH,2006,"7,507,630",,,,
Ukraine,Europe,UA,2006,"46,685,257",,,,
United Kingdom,Europe,GB,2006,"60,846,808",,,,
Total EU Pop.,Europe,,2006,"734,393,484",,,,
Bermuda,Northern America,BM,2006,"66,530",,,,
Canada,Northern America,CA,2006,"32,674,080",,,,
United States,Northern America,US,2006,"298,379,912",,,,
Mexico,Northern America,MX,2006,"107,916,378",,,,
Total NA Pop.,Northern America,,2006,"439,036,900",,,,
Albania,Europe,AL,2007,"2,991,573",,,,
Andorra,Europe,AD,2007,"80,757",,,,
Austria,Europe,AT,2007,"8,379,589",,,,
Belarus,Europe,BY,2007,"9,733,326",,,,
Belgium,Europe,BE,2007,"10,610,154",,,,
Bosnia and Herzegovina,Europe,BA,2007,"3,891,846",,,,
Bulgaria,Europe,BG,2007,"7,509,499",,,,
Croatia,Europe,HR,2007,"4,437,353",,,,
Czechia,Europe,CZ,2007,"10,365,254",,,,
Denmark,Europe,DK,2007,"5,458,200",,,,
Estonia,Europe,EE,2007,"1,316,118",,,,
Faroe Islands,Europe,FO,2007,"48,487",,,,
Finland,Europe,FI,2007,"5,280,151",,,,
France,Europe,FR,2007,"63,883,224",,,,
Germany,Europe,DE,2007,"82,236,860",,,,
Gibraltar,Europe,GI,2007,"28,522",,,,
Greece,Europe,GR,2007,"10,982,200",,,,
Guernsey,Europe,GG,2007,"63,743",,,,
Hungary,Europe,HU,2007,"10,034,123",,,,
Iceland,Europe,IS,2007,"311,492",,,,
Ireland,Europe,IE,2007,"4,419,987",,,,
Isle of Man,Europe,IM,2007,"81,347",,,,
Italy,Europe,IT,2007,"59,626,719",,,,
Jersey,Europe,JE,2007,"90,452",,,,
Kosovo,Europe,XK,2007,"1,785,393",,,,
Latvia,Europe,LV,2007,"2,220,509",,,,
Liechtenstein,Europe,LI,2007,"35,390",,,,
Lithuania,Europe,LT,2007,"3,230,566",,,,
Luxembourg,Europe,LU,2007,"482,297",,,,
Malta,Europe,MT,2007,"409,389",,,,
Moldova,Europe,MD,2007,"3,942,774",,,,
Monaco,Europe,MC,2007,"30,831",,,,
Montenegro,Europe,ME,2007,"620,495",,,,
Netherlands,Europe,NL,2007,"16,351,023",,,,
North Macedonia,Europe,MK,2007,"2,065,917",,,,
Norway,Europe,NO,2007,"4,710,953",,,,
Poland,Europe,PL,2007,"38,537,963",,,,
Portugal,Europe,PT,2007,"10,618,141",,,,
Romania,Europe,RO,2007,"21,075,777",,,,
Russia,Europe,RU,2007,"143,407,480",,,,
San Marino,Europe,SM,2007,"30,347",,,,
Serbia,Europe,RS,2007,"7,346,025",,,,
Slovakia,Europe,SK,2007,"5,411,218",,,,
Slovenia,Europe,SI,2007,"2,038,124",,,,
Spain,Europe,ES,2007,"45,211,636",,,,
Sweden,Europe,SE,2007,"9,201,390",,,,
Switzerland,Europe,CH,2007,"7,586,904",,,,
Ukraine,Europe,UA,2007,"46,406,827",,,,
United Kingdom,Europe,GB,2007,"61,249,260",,,,
Total EU Pop.,Europe,,2007,"735,867,605",,,,
Bermuda,Northern America,BM,2007,"67,014",,,,
Canada,Northern America,CA,2007,"33,005,951",,,,
United States,Northern America,US,2007,"301,231,207",,,,
Mexico,Northern America,MX,2007,"109,344,533",,,,
Total NA Pop.,Northern America,,2007,"443,648,705",,,,
Albania,Europe,AL,2008,"2,984,372",,,,
Andorra,Europe,AD,2008,"82,631",,,,
Austria,Europe,AT,2008,"8,406,796",,,,
Belarus,Europe,BY,2008,"9,712,051",,,,
Belgium,Europe,BE,2008,"10,692,800",,,,
Bosnia and Herzegovina,Europe,BA,2008,"3,888,950",,,,
Bulgaria,Europe,BG,2008,"7,465,356",,,,
Croatia,Europe,HR,2008,"4,434,262",,,,
Czechia,Europe,CZ,2008,"10,455,430",,,,
Denmark,Europe,DK,2008,"5,491,488",,,,
Estonia,Europe,EE,2008,"1,311,467",,,,
Faroe Islands,Europe,FO,2008,"48,664",,,,
Finland,Europe,FI,2008,"5,304,716",,,,
France,Europe,FR,2008,"64,250,843",,,,
Germany,Europe,DE,2008,"82,065,369",,,,
Gibraltar,Europe,GI,2008,"28,603",,,,
Greece,Europe,GR,2008,"10,996,346",,,,
Guernsey,Europe,GG,2008,"64,095",,,,
Hungary,Europe,HU,2008,"10,027,594",,,,
Iceland,Europe,IS,2008,"317,363",,,,
Ireland,Europe,IE,2008,"4,517,709",,,,
Isle of Man,Europe,IM,2008,"82,201",,,,
Italy,Europe,IT,2008,"60,091,305",,,,
Jersey,Europe,JE,2008,"91,628",,,,
Kosovo,Europe,XK,2008,"1,794,860",,,,
Latvia,Europe,LV,2008,"2,197,506",,,,
Liechtenstein,Europe,LI,2008,"35,600",,,,
Lithuania,Europe,LT,2008,"3,195,990",,,,
Luxembourg,Europe,LU,2008,"490,953",,,,
Malta,Europe,MT,2008,"412,044",,,,
Moldova,Europe,MD,2008,"3,933,442",,,,
Monaco,Europe,MC,2008,"30,730",,,,
Montenegro,Europe,ME,2008,"621,000",,,,
Netherlands,Europe,NL,2008,"16,410,055",,,,
North Macedonia,Europe,MK,2008,"2,069,952",,,,
Norway,Europe,NO,2008,"4,770,097",,,,
Poland,Europe,PL,2008,"38,556,061",,,,
Portugal,Europe,PT,2008,"10,635,102",,,,
Romania,Europe,RO,2008,"20,888,685",,,,
Russia,Europe,RU,2008,"143,359,355",,,,
San Marino,Europe,SM,2008,"30,746",,,,
Serbia,Europe,RS,2008,"7,307,359",,,,
Slovakia,Europe,SK,2008,"5,415,203",,,,
Slovenia,Europe,SI,2008,"2,056,915",,,,
Spain,Europe,ES,2008,"45,910,365",,,,
Sweden,Europe,SE,2008,"9,273,133",,,,
Switzerland,Europe,CH,2008,"7,700,222",,,,
Ukraine,Europe,UA,2008,"46,155,640",,,,
United Kingdom,Europe,GB,2008,"61,657,030",,,,
Total EU Pop.,Europe,,2008,"737,720,084",,,,
Bermuda,Northern America,BM,2008,"67,478",,,,
Canada,Northern America,CA,2008,"33,393,043",,,,
United States,Northern America,US,2008,"304,093,966",,,,
Mexico,Northern America,MX,2008,"110,876,639",,,,
Total NA Pop.,Northern America,,2008,"448,431,126",,,,
Albania,Europe,AL,2009,"2,983,560",,,,
Andorra,Europe,AD,2009,"83,904",,,,
Austria,Europe,AT,2009,"8,428,464",,,,
Belarus,Europe,BY,2009,"9,696,331",,,,
Belgium,Europe,BE,2009,"10,777,617",,,,
Bosnia and Herzegovina,Europe,BA,2009,"3,886,939",,,,
Bulgaria,Europe,BG,2009,"7,427,947",,,,
Croatia,Europe,HR,2009,"4,428,935",,,,
Czechia,Europe,CZ,2009,"10,518,272",,,,
Denmark,Europe,DK,2009,"5,521,707",,,,
Estonia,Europe,EE,2009,"1,307,409",,,,
Faroe Islands,Europe,FO,2009,"48,852",,,,
Finland,Europe,FI,2009,"5,330,210",,,,
France,Europe,FR,2009,"64,610,738",,,,
Germany,Europe,DE,2009,"81,854,784",,,,
Gibraltar,Europe,GI,2009,"28,685",,,,
Greece,Europe,GR,2009,"11,025,521",,,,
Guernsey,Europe,GG,2009,"64,459",,,,
Hungary,Europe,HU,2009,"10,020,993",,,,
Iceland,Europe,IS,2009,"318,453",,,,
Ireland,Europe,IE,2009,"4,579,978",,,,
Isle of Man,Europe,IM,2009,"83,031",,,,
Italy,Europe,IT,2009,"60,461,584",,,,
Jersey,Europe,JE,2009,"92,515",,,,
Kosovo,Europe,XK,2009,"1,804,666",,,,
Latvia,Europe,LV,2009,"2,161,153",,,,
Liechtenstein,Europe,LI,2009,"35,856",,,,
Lithuania,Europe,LT,2009,"3,158,758",,,,
Luxembourg,Europe,LU,2009,"500,087",,,,
Malta,Europe,MT,2009,"415,142",,,,
Moldova,Europe,MD,2009,"3,926,510",,,,
Monaco,Europe,MC,2009,"30,649",,,,
Montenegro,Europe,ME,2009,"621,968",,,,
Netherlands,Europe,NL,2009,"16,490,410",,,,
North Macedonia,Europe,MK,2009,"2,074,492",,,,
Norway,Europe,NO,2009,"4,830,659",,,,
Poland,Europe,PL,2009,"38,587,546",,,,
Portugal,Europe,PT,2009,"10,645,172",,,,
Romania,Europe,RO,2009,"20,692,612",,,,
Russia,Europe,RU,2009,"143,427,695",,,,
San Marino,Europe,SM,2009,"31,115",,,,
Serbia,Europe,RS,2009,"7,270,195",,,,
Slovakia,Europe,SK,2009,"5,420,240",,,,
Slovenia,Europe,SI,2009,"2,075,268",,,,
Spain,Europe,ES,2009,"46,290,324",,,,
Sweden,Europe,SE,2009,"9,352,377",,,,
Switzerland,Europe,CH,2009,"7,816,741",,,,
Ukraine,Europe,UA,2009,"45,950,761",,,,
United Kingdom,Europe,GB,2009,"62,049,797",,,,
Total EU Pop.,Europe,,2009,"739,241,081",,,,
Bermuda,Northern America,BM,2009,"67,922",,,,
Canada,Northern America,CA,2009,"33,802,573",,,,
United States,Northern America,US,2009,"306,771,529",,,,
Mexico,Northern America,MX,2009,"112,510,831",,,,
Total NA Pop.,Northern America,,2009,"453,152,855",,,,
Albania,Europe,AL,2010,"2,989,272",,,,
Andorra,Europe,AD,2010,"84,563",,,,
Austria,Europe,AT,2010,"8,447,901",,,,
Belarus,Europe,BY,2010,"9,680,067",,,,
Belgium,Europe,BE,2010,"10,865,721",,,,
Bosnia and Herzegovina,Europe,BA,2010,"3,884,835",,,,
Bulgaria,Europe,BG,2010,"7,391,080",,,,
Croatia,Europe,HR,2010,"4,417,475",,,,
Czechia,Europe,CZ,2010,"10,550,886",,,,
Denmark,Europe,DK,2010,"5,546,980",,,,
Estonia,Europe,EE,2010,"1,302,817",,,,
Faroe Islands,Europe,FO,2010,"49,052",,,,
Finland,Europe,FI,2010,"5,354,669",,,,
France,Europe,FR,2010,"64,971,832",,,,
Germany,Europe,DE,2010,"81,751,319",,,,
Gibraltar,Europe,GI,2010,"28,764",,,,
Greece,Europe,GR,2010,"11,039,844",,,,
Guernsey,Europe,GG,2010,"64,799",,,,
Hungary,Europe,HU,2010,"10,000,228",,,,
Iceland,Europe,IS,2010,"317,924",,,,
Ireland,Europe,IE,2010,"4,610,336",,,,
Isle of Man,Europe,IM,2010,"83,829",,,,
Italy,Europe,IT,2010,"60,786,485",,,,
Jersey,Europe,JE,2010,"93,317",,,,
Kosovo,Europe,XK,2010,"1,814,820",,,,
Latvia,Europe,LV,2010,"2,115,339",,,,
Liechtenstein,Europe,LI,2010,"36,137",,,,
Lithuania,Europe,LT,2010,"3,088,773",,,,
Luxembourg,Europe,LU,2010,"509,257",,,,
Malta,Europe,MT,2010,"417,173",,,,
Moldova,Europe,MD,2010,"3,920,438",,,,
Monaco,Europe,MC,2010,"30,589",,,,
Montenegro,Europe,ME,2010,"622,553",,,,
Netherlands,Europe,NL,2010,"16,573,785",,,,
North Macedonia,Europe,MK,2010,"2,079,955",,,,
Norway,Europe,NO,2010,"4,891,301",,,,
Poland,Europe,PL,2010,"38,616,395",,,,
Portugal,Europe,PT,2010,"10,650,026",,,,
Romania,Europe,RO,2010,"20,532,547",,,,
Russia,Europe,RU,2010,"143,493,100",,,,
San Marino,Europe,SM,2010,"31,467",,,,
Serbia,Europe,RS,2010,"7,233,391",,,,
Slovakia,Europe,SK,2010,"5,426,036",,,,
Slovenia,Europe,SI,2010,"2,084,182",,,,
Spain,Europe,ES,2010,"46,412,492",,,,
Sweden,Europe,SE,2010,"9,432,308",,,,
Switzerland,Europe,CH,2010,"7,937,497",,,,
Ukraine,Europe,UA,2010,"45,768,171",,,,
United Kingdom,Europe,GB,2010,"62,502,490",,,,
Total EU Pop.,Europe,,2010,"740,534,217",,,,
Bermuda,Northern America,BM,2010,"68,347",,,,
Canada,Northern America,CA,2010,"34,200,883",,,,
United States,Northern America,US,2010,"309,327,143",,,,
Mexico,Northern America,MX,2010,"114,222,072",,,,
Total NA Pop.,Northern America,,2010,"457,818,445",,,,
Albania,Europe,AL,2011,"2,998,428",,,,
Andorra,Europe,AD,2011,"84,888",,,,
Austria,Europe,AT,2011,"8,475,092",,,,
Belarus,Europe,BY,2011,"9,662,547",,,,
Belgium,Europe,BE,2011,"10,962,547",,,,
Bosnia and Herzegovina,Europe,BA,2011,"3,882,129",,,,
Bulgaria,Europe,BG,2011,"7,350,505",,,,
Croatia,Europe,HR,2011,"4,403,676",,,,
Czechia,Europe,CZ,2011,"10,573,222",,,,
Denmark,Europe,DK,2011,"5,570,463",,,,
Estonia,Europe,EE,2011,"1,297,236",,,,
Faroe Islands,Europe,FO,2011,"49,261",,,,
Finland,Europe,FI,2011,"5,379,679",,,,
France,Europe,FR,2011,"65,313,096",,,,
Germany,Europe,DE,2011,"81,759,269",,,,
Gibraltar,Europe,GI,2011,"28,840",,,,
Greece,Europe,GR,2011,"11,017,574",,,,
Guernsey,Europe,GG,2011,"65,116",,,,
Hungary,Europe,HU,2011,"9,972,181",,,,
Iceland,Europe,IS,2011,"318,851",,,,
Ireland,Europe,IE,2011,"4,630,972",,,,
Isle of Man,Europe,IM,2011,"84,597",,,,
Italy,Europe,IT,2011,"61,092,001",,,,
Jersey,Europe,JE,2011,"94,074",,,,
Kosovo,Europe,XK,2011,"1,825,340",,,,
Latvia,Europe,LV,2011,"2,076,493",,,,
Liechtenstein,Europe,LI,2011,"36,422",,,,
Lithuania,Europe,LT,2011,"3,015,011",,,,
Luxembourg,Europe,LU,2011,"520,556",,,,
Malta,Europe,MT,2011,"418,933",,,,
Moldova,Europe,MD,2011,"3,914,098",,,,
Monaco,Europe,MC,2011,"30,547",,,,
Montenegro,Europe,ME,2011,"622,433",,,,
Netherlands,Europe,NL,2011,"16,651,538",,,,
North Macedonia,Europe,MK,2011,"2,084,928",,,,
Norway,Europe,NO,2011,"4,955,374",,,,
Poland,Europe,PL,2011,"38,631,804",,,,
Portugal,Europe,PT,2011,"10,634,486",,,,
Romania,Europe,RO,2011,"20,389,656",,,,
Russia,Europe,RU,2011,"143,533,961",,,,
San Marino,Europe,SM,2011,"31,804",,,,
Serbia,Europe,RS,2011,"7,195,769",,,,
Slovakia,Europe,SK,2011,"5,433,273",,,,
Slovenia,Europe,SI,2011,"2,088,442",,,,
Spain,Europe,ES,2011,"46,466,588",,,,
Sweden,Europe,SE,2011,"9,503,419",,,,
Switzerland,Europe,CH,2011,"8,027,848",,,,
Ukraine,Europe,UA,2011,"45,603,516",,,,
United Kingdom,Europe,GB,2011,"62,994,194",,,,
Total EU Pop.,Europe,,2011,"741,752,677",,,,
Bermuda,Northern America,BM,2011,"68,757",,,,
Canada,Northern America,CA,2011,"34,581,269",,,,
United States,Northern America,US,2011,"311,583,481",,,,
Mexico,Northern America,MX,2011,"115,945,440",,,,
Total NA Pop.,Northern America,,2011,"462,178,947",,,,
Albania,Europe,AL,2012,"3,007,803",,,,
Andorra,Europe,AD,2012,"85,164",,,,
Austria,Europe,AT,2012,"8,512,930",,,,
Belarus,Europe,BY,2012,"9,653,837",,,,
Belgium,Europe,BE,2012,"11,058,132",,,,
Bosnia and Herzegovina,Europe,BA,2012,"3,878,827",,,,
Bulgaria,Europe,BG,2012,"7,308,614",,,,
Croatia,Europe,HR,2012,"4,389,754",,,,
Czechia,Europe,CZ,2012,"10,587,913",,,,
Denmark,Europe,DK,2012,"5,592,472",,,,
Estonia,Europe,EE,2012,"1,288,868",,,,
Faroe Islands,Europe,FO,2012,"49,476",,,,
Finland,Europe,FI,2012,"5,405,387",,,,
France,Europe,FR,2012,"65,634,194",,,,
Germany,Europe,DE,2012,"81,862,920",,,,
Gibraltar,Europe,GI,2012,"28,916",,,,
Greece,Europe,GR,2012,"10,948,200",,,,
Guernsey,Europe,GG,2012,"65,413",,,,
Hungary,Europe,HU,2012,"9,944,323",,,,
Iceland,Europe,IS,2012,"320,531",,,,
Ireland,Europe,IE,2012,"4,651,890",,,,
Isle of Man,Europe,IM,2012,"85,339",,,,
Italy,Europe,IT,2012,"61,303,175",,,,
Jersey,Europe,JE,2012,"94,826",,,,
Kosovo,Europe,XK,2012,"1,836,167",,,,
Latvia,Europe,LV,2012,"2,051,103",,,,
Liechtenstein,Europe,LI,2012,"36,713",,,,
Lithuania,Europe,LT,2012,"2,973,159",,,,
Luxembourg,Europe,LU,2012,"533,061",,,,
Malta,Europe,MT,2012,"422,121",,,,
Moldova,Europe,MD,2012,"3,907,889",,,,
Monaco,Europe,MC,2012,"30,523",,,,
Montenegro,Europe,ME,2012,"622,079",,,,
Netherlands,Europe,NL,2012,"16,713,096",,,,
North Macedonia,Europe,MK,2012,"2,089,228",,,,
Norway,Europe,NO,2012,"5,021,107",,,,
Poland,Europe,PL,2012,"38,632,423",,,,
Portugal,Europe,PT,2012,"10,591,764",,,,
Romania,Europe,RO,2012,"20,252,280",,,,
Russia,Europe,RU,2012,"143,645,489",,,,
San Marino,Europe,SM,2012,"32,127",,,,
Serbia,Europe,RS,2012,"7,159,029",,,,
Slovakia,Europe,SK,2012,"5,440,777",,,,
Slovenia,Europe,SI,2012,"2,092,758",,,,
Spain,Europe,ES,2012,"46,444,355",,,,
Sweden,Europe,SE,2012,"9,573,255",,,,
Switzerland,Europe,CH,2012,"8,077,542",,,,
Ukraine,Europe,UA,2012,"45,491,540",,,,
United Kingdom,Europe,GB,2012,"63,448,099",,,,
Total EU Pop.,Europe,,2012,"742,876,588",,,,
Bermuda,Northern America,BM,2012,"69,154",,,,
Canada,Northern America,CA,2012,"34,974,489",,,,
United States,Northern America,US,2012,"313,877,662",,,,
Mexico,Northern America,MX,2012,"117,627,103",,,,
Total NA Pop.,Northern America,,2012,"466,548,408",,,,
Albania,Europe,AL,2013,"3,017,282",,,,
Andorra,Europe,AD,2013,"85,389",,,,
Austria,Europe,AT,2013,"8,562,327",,,,
Belarus,Europe,BY,2013,"9,655,326",,,,
Belgium,Europe,BE,2013,"11,147,559",,,,
Bosnia and Herzegovina,Europe,BA,2013,"3,874,948",,,,
Bulgaria,Europe,BG,2013,"7,267,962",,,,
Croatia,Europe,HR,2013,"4,375,160",,,,
Czechia,Europe,CZ,2013,"10,591,394",,,,
Denmark,Europe,DK,2013,"5,617,172",,,,
Estonia,Europe,EE,2013,"1,279,726",,,,
Faroe Islands,Europe,FO,2013,"49,701",,,,
Finland,Europe,FI,2013,"5,430,351",,,,
France,Europe,FR,2013,"65,972,844",,,,
Germany,Europe,DE,2013,"82,056,877",,,,
Gibraltar,Europe,GI,2013,"28,992",,,,
Greece,Europe,GR,2013,"10,872,247",,,,
Guernsey,Europe,GG,2013,"65,689",,,,
Hungary,Europe,HU,2013,"9,919,643",,,,
Iceland,Europe,IS,2013,"323,744",,,,
Ireland,Europe,IE,2013,"4,677,112",,,,
Isle of Man,Europe,IM,2013,"86,058",,,,
Italy,Europe,IT,2013,"61,433,746",,,,
Jersey,Europe,JE,2013,"95,578",,,,
Kosovo,Europe,XK,2013,"1,847,268",,,,
Latvia,Europe,LV,2013,"2,029,430",,,,
Liechtenstein,Europe,LI,2013,"37,010",,,,
Lithuania,Europe,LT,2013,"2,943,358",,,,
Luxembourg,Europe,LU,2013,"545,475",,,,
Malta,Europe,MT,2013,"426,039",,,,
Moldova,Europe,MD,2013,"3,901,481",,,,
Monaco,Europe,MC,2013,"30,519",,,,
Montenegro,Europe,ME,2013,"621,603",,,,
Netherlands,Europe,NL,2013,"16,762,211",,,,
North Macedonia,Europe,MK,2013,"2,094,132",,,,
Norway,Europe,NO,2013,"5,082,802",,,,
Poland,Europe,PL,2013,"38,613,020",,,,
Portugal,Europe,PT,2013,"10,534,203",,,,
Romania,Europe,RO,2013,"20,136,346",,,,
Russia,Europe,RU,2013,"143,786,233",,,,
San Marino,Europe,SM,2013,"32,435",,,,
Serbia,Europe,RS,2013,"7,124,084",,,,
Slovakia,Europe,SK,2013,"5,446,591",,,,
Slovenia,Europe,SI,2013,"2,095,552",,,,
Spain,Europe,ES,2013,"46,290,810",,,,
Sweden,Europe,SE,2013,"9,647,647",,,,
Switzerland,Europe,CH,2013,"8,140,760",,,,
Ukraine,Europe,UA,2013,"45,388,613",,,,
United Kingdom,Europe,GB,2013,"63,872,733",,,,
Total EU Pop.,Europe,,2013,"743,917,182",,,,
Bermuda,Northern America,BM,2013,"69,537",,,,
Canada,Northern America,CA,2013,"35,386,802",,,,
United States,Northern America,US,2013,"316,059,947",,,,
Mexico,Northern America,MX,2013,"119,228,748",,,,
Total NA Pop.,Northern America,,2013,"470,745,079",,,,
Albania,Europe,AL,2014,"3,026,779",,,,
Andorra,Europe,AD,2014,"85,563",,,,
Austria,Europe,AT,2014,"8,615,171",,,,
Belarus,Europe,BY,2014,"9,663,837",,,,
Belgium,Europe,BE,2014,"11,234,661",,,,
Bosnia and Herzegovina,Europe,BA,2014,"3,870,503",,,,
Bulgaria,Europe,BG,2014,"7,228,135",,,,
Croatia,Europe,HR,2014,"4,356,748",,,,
Czechia,Europe,CZ,2014,"10,602,468",,,,
Denmark,Europe,DK,2014,"5,647,207",,,,
Estonia,Europe,EE,2014,"1,272,393",,,,
Faroe Islands,Europe,FO,2014,"49,938",,,,
Finland,Europe,FI,2014,"5,454,465",,,,
France,Europe,FR,2014,"66,293,132",,,,
Germany,Europe,DE,2014,"82,375,634",,,,
Gibraltar,Europe,GI,2014,"29,066",,,,
Greece,Europe,GR,2014,"10,801,129",,,,
Guernsey,Europe,GG,2014,"65,946",,,,
Hungary,Europe,HU,2014,"9,917,924",,,,
Iceland,Europe,IS,2014,"327,872",,,,
Ireland,Europe,IE,2014,"4,711,554",,,,
Isle of Man,Europe,IM,2014,"86,751",,,,
Italy,Europe,IT,2014,"61,504,156",,,,
Jersey,Europe,JE,2014,"96,330",,,,
Kosovo,Europe,XK,2014,"1,858,674",,,,
Latvia,Europe,LV,2014,"2,007,714",,,,
Liechtenstein,Europe,LI,2014,"37,314",,,,
Lithuania,Europe,LT,2014,"2,914,439",,,,
Luxembourg,Europe,LU,2014,"558,008",,,,
Malta,Europe,MT,2014,"430,028",,,,
Moldova,Europe,MD,2014,"3,881,027",,,,
Monaco,Europe,MC,2014,"30,535",,,,
Montenegro,Europe,ME,2014,"620,897",,,,
Netherlands,Europe,NL,2014,"16,822,334",,,,
North Macedonia,Europe,MK,2014,"2,099,581",,,,
Norway,Europe,NO,2014,"5,140,118",,,,
Poland,Europe,PL,2014,"38,579,185",,,,
Portugal,Europe,PT,2014,"10,477,254",,,,
Romania,Europe,RO,2014,"20,016,775",,,,
Russia,Europe,RU,2014,"143,933,363",,,,
San Marino,Europe,SM,2014,"32,729",,,,
Serbia,Europe,RS,2014,"7,089,319",,,,
